id	name	confirmed	recovered	deaths	active	
GAB	Gabon	48981	0	306	48675	
153	Mauritius	296042	0	1044	294998	
EST	Estonia	615433	0	2946	612487	
TTO	Trinidad and Tobago	189918	0	4355	185563	
TLS	Timor-Leste	23419	0	138	23281	
CYP	Cyprus	650685	0	1330	649355	
FJI	Fiji	68898	0	883	68015	
QAT	Qatar	495090	0	688	494402	
GUY	Guyana	73075	0	1298	71777	
DJI	Djibouti	15690	0	189	15501	
163	Bahrain	710693	0	1553	709140	
BTN	Bhutan	62627	0	21	62606	
MNE	Montenegro	288808	0	2808	286000	
GNQ	Equatorial Guinea	17229	0	183	17046	
169	Cabo Verde	63244	0	413	62831	
LUX	Luxembourg	317367	0	1220	316147	
SUR	Suriname	82467	0	1404	81063	
173	Malta	117610	0	828	116782	
174	Maldives	185738	0	311	185427	
BRN	Brunei	279661	0	225	279436	
BLZ	Belize	70757	0	688	70069	
BHS	Bahamas	37491	0	833	36658	
ISL	Iceland	209137	0	263	208874	
180	Barbados	106798	0	579	106219	
186	Sao Tome and Principe	6281	0	77	6204	
187	Saint Lucia	30004	0	409	29595	
193	Saint Vincent and the Grenadines	9589	0	123	9466	
196	Seychelles	50665	0	172	50493	
197	Antigua and Barbuda	9106	0	146	8960	
198	Andorra	47890	0	165	47725	
DOM	Dominica	15760	0	74	15686	
207	Saint Kitts and Nevis	6597	0	47	6550	
210	Liechtenstein	21432	0	89	21343	
211	San Marino	23616	0	122	23494	
212	Monaco	16121	0	67	16054	
235	Holy See	29	0	0	29	
SDS	South Sudan	18368	0	138	18230	
